objid,class,ra,dec,ra_deg,dec_deg,nvote,p_el_debiased,p_cs_debiased,image_path,source_url
588848900983554188,spiral,11:33:43.32,+00:43:31.4,173.4305000000,0.7253888889,56,0.04,0.938,images\spiral\588848900983554188.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=173.4305000000&dec=0.7253888889&scale=0.396&width=256&height=256&opt=
587739719214825557,elliptical,12:35:09.42,+28:44:18.2,188.7892500000,28.7383888889,37,0.912,0.088,images\elliptical\587739719214825557.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=188.7892500000&dec=28.7383888889&scale=0.396&width=256&height=256&opt=
587729388216778864,spiral,09:35:22.37,+53:38:20.6,143.8432083333,53.6390555556,28,0.115,0.885,images\spiral\587729388216778864.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=143.8432083333&dec=53.6390555556&scale=0.396&width=256&height=256&opt=
587727944570437706,spiral,09:56:10.21,+02:48:50.5,149.0425416667,2.8140277778,27,0.073,0.927,images\spiral\587727944570437706.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=149.0425416667&dec=2.8140277778&scale=0.396&width=256&height=256&opt=
587735343716041291,spiral,08:07:15.64,+05:31:19.5,121.8151666667,5.5220833333,26,0.14,0.784,images\spiral\587735343716041291.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=121.8151666667&dec=5.5220833333&scale=0.396&width=256&height=256&opt=
587736478660886685,uncertain,13:53:15.60,+12:02:27.4,208.3150000000,12.0409444444,32,0.613,0.215,images\uncertain\587736478660886685.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=208.3150000000&dec=12.0409444444&scale=0.396&width=256&height=256&opt=
588007004181889144,elliptical,13:57:39.71,+62:16:49.5,209.4154583333,62.2804166667,29,0.828,0.0,images\elliptical\588007004181889144.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=209.4154583333&dec=62.2804166667&scale=0.396&width=256&height=256&opt=
587732769988214959,spiral,13:09:44.32,+08:41:54.4,197.4346666667,8.6984444444,34,0.031,0.969,images\spiral\587732769988214959.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=197.4346666667&dec=8.6984444444&scale=0.396&width=256&height=256&opt=
587736478669078813,uncertain,15:09:15.22,+09:49:25.0,227.3134166667,9.8236111111,57,0.782,0.095,images\uncertain\587736478669078813.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=227.3134166667&dec=9.8236111111&scale=0.396&width=256&height=256&opt=
588009367471259819,elliptical,08:52:38.92,+50:28:03.0,133.1621666667,50.4675000000,22,0.894,0.06,images\elliptical\588009367471259819.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=133.1621666667&dec=50.4675000000&scale=0.396&width=256&height=256&opt=
588017604164780275,elliptical,15:36:21.39,+32:36:13.9,234.0891250000,32.6038611111,27,0.963,0.0,images\elliptical\588017604164780275.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=234.0891250000&dec=32.6038611111&scale=0.396&width=256&height=256&opt=
587726102026584303,elliptical,15:11:48.59,+04:10:18.5,227.9524583333,4.1718055556,27,0.926,0.0,images\elliptical\587726102026584303.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=227.9524583333&dec=4.1718055556&scale=0.396&width=256&height=256&opt=
587724232108998766,uncertain,01:57:10.24,+13:05:42.1,29.2926666667,13.0950277778,46,0.253,0.383,images\uncertain\587724232108998766.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=29.2926666667&dec=13.0950277778&scale=0.396&width=256&height=256&opt=
587742191519793309,uncertain,13:00:29.61,+25:37:22.6,195.1233750000,25.6229444444,33,0.119,0.77,images\uncertain\587742191519793309.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=195.1233750000&dec=25.6229444444&scale=0.396&width=256&height=256&opt=
587739380455768321,uncertain,15:20:43.49,+25:39:07.9,230.1812083333,25.6521944444,35,0.636,0.364,images\uncertain\587739380455768321.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=230.1812083333&dec=25.6521944444&scale=0.396&width=256&height=256&opt=
587728880334405959,elliptical,09:22:46.29,+03:42:40.6,140.6928750000,3.7112777778,60,0.867,0.033,images\elliptical\587728880334405959.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=140.6928750000&dec=3.7112777778&scale=0.396&width=256&height=256&opt=
587727179533713562,uncertain,01:37:28.30,-09:16:40.2,24.3679166667,-9.2778333333,56,0.577,0.189,images\uncertain\587727179533713562.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=24.3679166667&dec=-9.2778333333&scale=0.396&width=256&height=256&opt=
587738568708587699,spiral,13:08:00.76,+14:13:54.0,197.0031666667,14.2316666667,58,0.021,0.979,images\spiral\587738568708587699.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=197.0031666667&dec=14.2316666667&scale=0.396&width=256&height=256&opt=
587742572681363612,elliptical,10:41:51.98,+18:21:17.5,160.4665833333,18.3548611111,30,0.967,0.0,images\elliptical\587742572681363612.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=160.4665833333&dec=18.3548611111&scale=0.396&width=256&height=256&opt=
587727874768633962,uncertain,23:27:09.33,-09:48:00.9,351.7888750000,-9.8002500000,29,0.149,0.75,images\uncertain\587727874768633962.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=351.7888750000&dec=-9.8002500000&scale=0.396&width=256&height=256&opt=
587741724972220443,elliptical,13:01:10.81,+23:47:55.5,195.2950416667,23.7987500000,35,0.886,0.029,images\elliptical\587741724972220443.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=195.2950416667&dec=23.7987500000&scale=0.396&width=256&height=256&opt=
587725818031112342,uncertain,14:46:01.49,+63:01:06.9,221.5062083333,63.0185833333,29,0.65,0.35,images\uncertain\587725818031112342.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=221.5062083333&dec=63.0185833333&scale=0.396&width=256&height=256&opt=
587739651032809814,uncertain,15:41:31.08,+21:18:19.2,235.3795000000,21.3053333333,29,0.563,0.302,images\uncertain\587739651032809814.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=235.3795000000&dec=21.3053333333&scale=0.396&width=256&height=256&opt=
587732152035049561,spiral,10:15:44.95,+44:41:24.6,153.9372916667,44.6901666667,49,0.04,0.827,images\spiral\587732152035049561.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=153.9372916667&dec=44.6901666667&scale=0.396&width=256&height=256&opt=
587736753006575770,spiral,16:17:37.58,+31:21:00.9,244.4065833333,31.3502500000,38,0.0,1.0,images\spiral\587736753006575770.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=244.4065833333&dec=31.3502500000&scale=0.396&width=256&height=256&opt=
587741534392877195,spiral,10:48:53.85,+29:07:19.0,162.2243750000,29.1219444444,31,0.169,0.772,images\spiral\587741534392877195.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=162.2243750000&dec=29.1219444444&scale=0.396&width=256&height=256&opt=
587729408619512097,spiral,17:06:31.29,+34:16:40.1,256.6303750000,34.2778055556,49,0.055,0.877,images\spiral\587729408619512097.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=256.6303750000&dec=34.2778055556&scale=0.396&width=256&height=256&opt=
587735662082719961,uncertain,09:25:53.61,+33:41:34.6,141.4733750000,33.6929444444,56,0.201,0.256,images\uncertain\587735662082719961.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=141.4733750000&dec=33.6929444444&scale=0.396&width=256&height=256&opt=
587730022256017596,spiral,14:50:01.09,+05:39:59.0,222.5045416667,5.6663888889,26,0.0,0.885,images\spiral\587730022256017596.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=222.5045416667&dec=5.6663888889&scale=0.396&width=256&height=256&opt=
587736546854896157,spiral,16:04:09.28,+04:27:04.7,241.0386666667,4.4513055556,29,0.013,0.952,images\spiral\587736546854896157.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=241.0386666667&dec=4.4513055556&scale=0.396&width=256&height=256&opt=
587739407846604940,spiral,10:37:33.31,+32:48:07.4,159.3887916667,32.8020555556,38,0.172,0.724,images\spiral\587739407846604940.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=159.3887916667&dec=32.8020555556&scale=0.396&width=256&height=256&opt=
587742061098434957,elliptical,16:20:21.69,+11:23:04.4,245.0903750000,11.3845555556,35,0.914,0.0,images\elliptical\587742061098434957.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=245.0903750000&dec=11.3845555556&scale=0.396&width=256&height=256&opt=
588009367478468645,elliptical,10:28:24.15,+59:45:50.9,157.1006250000,59.7641388889,34,0.822,0.178,images\elliptical\588009367478468645.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=157.1006250000&dec=59.7641388889&scale=0.396&width=256&height=256&opt=
587739158726901882,elliptical,09:46:03.90,+31:49:21.9,146.5162500000,31.8227500000,59,0.932,0.0,images\elliptical\587739158726901882.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=146.5162500000&dec=31.8227500000&scale=0.396&width=256&height=256&opt=
587736584962769081,elliptical,13:59:11.89,+39:25:17.8,209.7995416667,39.4216111111,43,0.86,0.07,images\elliptical\587736584962769081.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=209.7995416667&dec=39.4216111111&scale=0.396&width=256&height=256&opt=
588017704541290510,uncertain,12:01:30.09,+13:06:02.3,180.3753750000,13.1006388889,55,0.109,0.633,images\uncertain\588017704541290510.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=180.3753750000&dec=13.1006388889&scale=0.396&width=256&height=256&opt=
587742578060427410,elliptical,13:32:58.67,+19:55:11.4,203.2444583333,19.9198333333,22,0.909,0.0,images\elliptical\587742578060427410.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=203.2444583333&dec=19.9198333333&scale=0.396&width=256&height=256&opt=
587727179535876209,spiral,01:57:32.65,-09:03:58.8,29.3860416667,-9.0663333333,30,0.011,0.989,images\spiral\587727179535876209.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=29.3860416667&dec=-9.0663333333&scale=0.396&width=256&height=256&opt=
588011123575226502,uncertain,11:49:55.03,+62:12:07.7,177.4792916667,62.2021388889,21,0.458,0.493,images\uncertain\588011123575226502.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=177.4792916667&dec=62.2021388889&scale=0.396&width=256&height=256&opt=
588017704017526920,spiral,14:03:59.67,+11:36:26.4,210.9986250000,11.6073333333,57,0.084,0.898,images\spiral\588017704017526920.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=210.9986250000&dec=11.6073333333&scale=0.396&width=256&height=256&opt=
587722982816874682,uncertain,12:27:43.45,-00:24:18.2,186.9310416667,-0.4050555556,33,0.696,0.088,images\uncertain\587722982816874682.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=186.9310416667&dec=-0.4050555556&scale=0.396&width=256&height=256&opt=
587725816426266860,spiral,15:57:00.80,+53:23:31.7,239.2533333333,53.3921388889,32,0.044,0.956,images\spiral\587725816426266860.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=239.2533333333&dec=53.3921388889&scale=0.396&width=256&height=256&opt=
587739845387026757,spiral,15:05:09.33,+19:36:20.8,226.2888750000,19.6057777778,29,0.0070,0.922,images\spiral\587739845387026757.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=226.2888750000&dec=19.6057777778&scale=0.396&width=256&height=256&opt=
587732482754805956,elliptical,13:30:03.95,+48:04:30.6,202.5164583333,48.0751666667,62,0.863,0.04,images\elliptical\587732482754805956.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=202.5164583333&dec=48.0751666667&scale=0.396&width=256&height=256&opt=
587729746837700757,spiral,15:18:50.96,+01:07:00.0,229.7123333333,1.1166666667,27,0.109,0.808,images\spiral\587729746837700757.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=229.7123333333&dec=1.1166666667&scale=0.396&width=256&height=256&opt=
587732484351328259,spiral,10:16:28.00,+46:30:51.6,154.1166666667,46.5143333333,33,0.017,0.953,images\spiral\587732484351328259.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=154.1166666667&dec=46.5143333333&scale=0.396&width=256&height=256&opt=
588017627233910968,spiral,13:22:01.18,+44:30:51.3,200.5049166667,44.5142500000,21,0.037,0.846,images\spiral\588017627233910968.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=200.5049166667&dec=44.5142500000&scale=0.396&width=256&height=256&opt=
587727220860453386,spiral,21:29:14.25,+10:13:33.6,322.3093750000,10.2260000000,32,0.274,0.656,images\spiral\587727220860453386.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=322.3093750000&dec=10.2260000000&scale=0.396&width=256&height=256&opt=
588848898840789198,spiral,12:17:16.98,-00:52:19.9,184.3207500000,-0.8721944444,57,0.149,0.807,images\spiral\588848898840789198.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=184.3207500000&dec=-0.8721944444&scale=0.396&width=256&height=256&opt=
588017992296235149,elliptical,12:59:17.90,+10:36:51.9,194.8245833333,10.6144166667,70,0.867,0.047,images\elliptical\588017992296235149.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=194.8245833333&dec=10.6144166667&scale=0.396&width=256&height=256&opt=
587732482759262337,spiral,14:26:08.30,+44:47:04.2,216.5345833333,44.7845000000,25,0.044,0.956,images\spiral\587732482759262337.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=216.5345833333&dec=44.7845000000&scale=0.396&width=256&height=256&opt=
587742062161625310,spiral,14:45:23.88,+18:59:26.0,221.3495000000,18.9905555556,51,0.0040,0.996,images\spiral\587742062161625310.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=221.3495000000&dec=18.9905555556&scale=0.396&width=256&height=256&opt=
587742576979214564,elliptical,12:20:03.80,+20:07:00.2,185.0158333333,20.1167222222,27,0.852,0.037,images\elliptical\587742576979214564.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=185.0158333333&dec=20.1167222222&scale=0.396&width=256&height=256&opt=
587736478666326300,spiral,14:43:58.16,+10:39:23.9,220.9923333333,10.6566388889,59,0.076,0.902,images\spiral\587736478666326300.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=220.9923333333&dec=10.6566388889&scale=0.396&width=256&height=256&opt=
587741709944946832,spiral,09:43:18.63,+22:44:25.3,145.8276250000,22.7403611111,25,0.037,0.911,images\spiral\587741709944946832.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=145.8276250000&dec=22.7403611111&scale=0.396&width=256&height=256&opt=
588015510358720722,spiral,02:22:52.27,+00:52:18.9,35.7177916667,0.8719166667,30,0.727,0.273,images\spiral\588015510358720722.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=35.7177916667&dec=0.8719166667&scale=0.396&width=256&height=256&opt=
587736524834734269,uncertain,14:04:41.63,+06:40:37.6,211.1734583333,6.6771111111,53,0.66,0.283,images\uncertain\587736524834734269.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=211.1734583333&dec=6.6771111111&scale=0.396&width=256&height=256&opt=
587736542012702905,uncertain,13:29:37.87,+09:13:11.1,202.4077916667,9.2197500000,29,0.8,0.086,images\uncertain\587736542012702905.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=202.4077916667&dec=9.2197500000&scale=0.396&width=256&height=256&opt=
588016878285816401,elliptical,07:51:07.79,+18:47:24.7,117.7824583333,18.7901944444,40,0.925,0.05,images\elliptical\588016878285816401.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=117.7824583333&dec=18.7901944444&scale=0.396&width=256&height=256&opt=
587732591182610605,elliptical,13:20:05.29,+59:29:24.0,200.0220416667,59.4900000000,19,0.842,0.0,images\elliptical\587732591182610605.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=200.0220416667&dec=59.4900000000&scale=0.396&width=256&height=256&opt=
588298663574962344,elliptical,12:36:51.10,+47:45:34.1,189.2129166667,47.7594722222,34,0.941,0.059,images\elliptical\588298663574962344.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=189.2129166667&dec=47.7594722222&scale=0.396&width=256&height=256&opt=
587728669345186068,uncertain,08:31:44.86,+46:08:36.9,127.9369166667,46.1435833333,25,0.497,0.437,images\uncertain\587728669345186068.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=127.9369166667&dec=46.1435833333&scale=0.396&width=256&height=256&opt=
587741602570305720,uncertain,12:34:07.02,+27:52:44.6,188.5292500000,27.8790555556,59,0.503,0.32,images\uncertain\587741602570305720.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=188.5292500000&dec=27.8790555556&scale=0.396&width=256&height=256&opt=
588018056726184090,spiral,14:52:22.51,+46:36:09.0,223.0937916667,46.6025000000,25,0.037,0.823,images\spiral\588018056726184090.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=223.0937916667&dec=46.6025000000&scale=0.396&width=256&height=256&opt=
587736524836831463,elliptical,14:23:55.10,+06:16:32.7,215.9795833333,6.2757500000,34,1.0,0.0,images\elliptical\587736524836831463.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=215.9795833333&dec=6.2757500000&scale=0.396&width=256&height=256&opt=
587739829278212242,elliptical,14:48:03.09,+23:32:25.9,222.0128750000,23.5405277778,27,0.883,0.043,images\elliptical\587739829278212242.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=222.0128750000&dec=23.5405277778&scale=0.396&width=256&height=256&opt=
587730775498948682,elliptical,23:55:51.08,+15:55:46.2,358.9628333333,15.9295000000,57,0.905,0.059,images\elliptical\587730775498948682.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=358.9628333333&dec=15.9295000000&scale=0.396&width=256&height=256&opt=
587732053773189546,uncertain,07:55:40.61,+27:39:32.2,118.9192083333,27.6589444444,60,0.697,0.155,images\uncertain\587732053773189546.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=118.9192083333&dec=27.6589444444&scale=0.396&width=256&height=256&opt=
587742014378869020,uncertain,15:42:55.97,+15:06:35.6,235.7332083333,15.1098888889,29,0.511,0.263,images\uncertain\587742014378869020.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=235.7332083333&dec=15.1098888889&scale=0.396&width=256&height=256&opt=
588017626167050372,uncertain,14:40:39.88,+39:01:32.9,220.1661666667,39.0258055556,52,0.649,0.153,images\uncertain\588017626167050372.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=220.1661666667&dec=39.0258055556&scale=0.396&width=256&height=256&opt=
587728879262892274,uncertain,09:43:28.76,+03:03:37.7,145.8698333333,3.0604722222,37,0.425,0.508,images\uncertain\587728879262892274.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=145.8698333333&dec=3.0604722222&scale=0.396&width=256&height=256&opt=
588017724930392093,uncertain,11:15:45.62,+06:51:43.2,168.9400833333,6.8620000000,52,0.179,0.496,images\uncertain\588017724930392093.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=168.9400833333&dec=6.8620000000&scale=0.396&width=256&height=256&opt=
587738947735519480,elliptical,08:28:54.92,+24:33:46.9,127.2288333333,24.5630277778,28,0.893,0.071,images\elliptical\587738947735519480.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=127.2288333333&dec=24.5630277778&scale=0.396&width=256&height=256&opt=
587736809377169598,uncertain,14:08:02.63,+13:59:59.3,212.0109583333,13.9998055556,60,0.811,0.101,images\uncertain\587736809377169598.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=212.0109583333&dec=13.9998055556&scale=0.396&width=256&height=256&opt=
587735348036567153,spiral,12:03:30.95,+14:34:55.2,180.8789583333,14.5820000000,53,0.375,0.625,images\spiral\587735348036567153.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=180.8789583333&dec=14.5820000000&scale=0.396&width=256&height=256&opt=
587728932416717106,elliptical,08:56:12.54,+48:30:21.7,134.0522500000,48.5060277778,43,0.953,0.047,images\elliptical\587728932416717106.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=134.0522500000&dec=48.5060277778&scale=0.396&width=256&height=256&opt=
587738572993593498,spiral,12:41:48.59,+39:15:51.4,190.4524583333,39.2642777778,44,0.15,0.85,images\spiral\587738572993593498.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=190.4524583333&dec=39.2642777778&scale=0.396&width=256&height=256&opt=
587741708328960280,spiral,08:55:43.84,+17:26:27.0,133.9326666667,17.4408333333,30,0.066,0.895,images\spiral\587741708328960280.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=133.9326666667&dec=17.4408333333&scale=0.396&width=256&height=256&opt=
587732577765425329,spiral,09:31:14.63,+05:15:51.1,142.8109583333,5.2641944444,46,0.051,0.949,images\spiral\587732577765425329.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=142.8109583333&dec=5.2641944444&scale=0.396&width=256&height=256&opt=
587735695380840691,uncertain,15:00:34.85,+49:25:47.1,225.1452083333,49.4297500000,32,0.014,0.733,images\uncertain\587735695380840691.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=225.1452083333&dec=49.4297500000&scale=0.396&width=256&height=256&opt=
587729159509442678,uncertain,13:55:17.90,+04:57:40.8,208.8245833333,4.9613333333,61,0.328,0.39,images\uncertain\587729159509442678.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=208.8245833333&dec=4.9613333333&scale=0.396&width=256&height=256&opt=
587731679044305047,elliptical,08:51:58.52,+40:05:46.2,132.9938333333,40.0961666667,29,0.931,0.0,images\elliptical\587731679044305047.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=132.9938333333&dec=40.0961666667&scale=0.396&width=256&height=256&opt=
587731185120379117,spiral,22:30:33.99,-00:59:23.3,337.6416250000,-0.9898055556,34,0.0060,0.964,images\spiral\587731185120379117.jpg,https://skyserver.sdss.org/dr16/SkyServerWS/ImgCutout/getjpeg?ra=337.6416250000&dec=-0.9898055556&scale=0.396&width=256&height=256&opt=
